3,TRUE,TRUE,TRUE
1100;1001;0011;0110,6226,6226,6226,
1100;1001;0000;0101,6178,6178,6178,
1010;0101;1001;0110,6303,6303,6303,
0000;0101;0011;0110,6308,6308,6308,
0101;1001;0011;1111,6336,6336,6336,
1111;1001;1010;1100,6198,6198,6198,
1010;0000;1001;0011,6198,6198,6198,
1100;1010;0101;0011,6296,6296,6296,
1100;1111;0110;0101,6176,6176,6176,
0110;1100;1010;0000,6437,6437,6437,
0110;1010;1111;0011,6179,6179,6179,

11,TRUE,FALSE,TRUE
0011;0110;1100;1001,6264,6264,6264,
1001;0101;0000;1100,6278,6278,6278,
1001;0110;0101;1010,6342,6342,6342,
0000;0011;0110;0101,6240,6240,6240,
0011;0101;1001;1111,6110,6110,6110,
1111;1010;1100;1001,6351,6351,6351,
1010;0000;1001;0011,6360,6360,6360,
0101;1100;0011;1010,6393,6393,6393,
1100;1111;0110;0101,6188,6188,6188,
0110;1010;1100;0000,6333,6333,6333,
1010;0011;1111;0110,6177,6177,6177,

3,TRUE,FALSE,FALSE
1011;1001;0011;0001,902,0,0,
1101;0000;1110;0011,1786,0,0,
0100;0000;1100;1000,1836,0,0,
1000;0011;1011;0000,1776,0,0,
0101;0010;0100;0011,881,0,0,
1101;0110;1010;0001,914,0,0,
1100;1101;1010;1011,906,0,0,
0011;1011;1101;0101,904,0,0,
0010;0100;1100;1010,875,0,0,
0000;0110;0111;0001,1770,0,0,
0110;1000;1110;0000,1748,0,0,
0101;0010;1001;1110,851,0,0,
1000;0100;0101;1001,852,0,0,
0011;0000;0101;0110,1865,1729,464,
1110;1100;0110;0100,914,0,0,
1000;0010;1100;0110,896,0,0,
1011;1110;0101;0000,1688,0,0,
0000;1000;1001;0001,1817,0,0,
0110;0101;1000;1011,860,0,0,
1110;1000;1011;1101,861,0,0,
0111;0010;0101;0000,1702,0,0,
0110;0011;0111;0010,926,0,0,
1000;0101;0001;1100,900,0,0,
0100;1101;1001;0000,1780,0,0,
1001;0011;1010;0000,1809,1803,449,
1100;0010;1011;0101,928,0,0,
0001;1001;1010;0010,864,0,0,
0111;1011;1100;0000,1760,0,0,
1001;0010;1000;0011,894,0,0,
1011;1010;0110;0111,867,0,0,
1010;1110;1101;1001,889,0,0,
0110;1100;1011;0001,905,0,0,
0000;0100;1110;1010,1734,0,0,
0101;1101;0110;1110,891,0,0,
1001;1100;0111;0010,873,0,0,
0110;0011;1000;1101,887,0,0,
0111;0001;1101;1011,865,0,0,
0010;0111;0100;0001,880,0,0,
1110;0100;0010;1000,871,0,0,
0000;1001;1100;0101,1836,1825,450,
1110;0101;0011;1000,914,0,0,
0101;0001;0111;0011,885,0,0,
0101;0111;1001;1011,918,0,0,
0010;1010;1110;0110,885,0,0,
0001;0100;1001;1100,837,0,0,
1110;0000;1100;0010,1875,0,0,
1100;0101;0111;1110,938,0,0,
1110;1001;1100;1011,923,0,0,
0110;0100;0000;0010,1780,0,0,
1101;1100;0101;0100,892,0,0,
1100;1010;0110;0000,1753,1906,471,
0110;1101;1011;0000,1805,0,0,
1010;1011;0010;0011,914,0,0,
0100;1010;0110;1000,900,0,0,
0011;0000;0010;0001,1789,0,0,
0000;1101;0001;1100,1825,0,0,
1110;1001;0111;0000,1835,0,0,
0010;1110;1011;0111,892,0,0,
0110;0100;0001;0011,942,0,0,
1001;0011;1101;0111,902,0,0,
0100;0000;0101;0001,1770,0,0,
1000;0010;0000;1010,1736,0,0,
0001;0010;1011;1000,878,0,0,
1101;1010;0000;0111,1754,0,0,
0110;0011;1110;1011,927,0,0,
1101;1100;1000;1001,914,0,0,
1101;0111;1100;0110,914,0,0,
0000;0001;1010;1011,1830,0,0,
0000;1011;1001;0010,1781,0,0,
1000;1100;1110;1010,897,0,0,
0100;0111;0101;0110,869,0,0,
0100;0111;0000;0011,1817,0,0,
0100;1101;1010;0011,915,0,0,
0111;1001;1010;0100,882,0,0,
0101;1101;0000;1000,1766,0,0,
1001;1011;1010;1000,921,0,0,
1110;0111;1101;0100,864,0,0,
0010;0101;0001;0110,864,0,0,
1110;0011;0100;1001,881,0,0,
1110;0111;1010;0011,916,0,0,
1101;1001;0101;0001,839,0,0,
1101;1000;0001;0100,955,0,0,
0001;0011;1010;1000,882,0,0,
1010;0001;1100;0111,861,0,0,

4,TRUE,FALSE,FALSE
1101;1000;0111;0010,375,0,0,
0011;1001;1011;0001,713,0,0,
1111;0010;0000;1101,380,0,0,
0011;0010;1101;1100,358,0,0,
0000;1100;0100;1000,1092,0,0,
0010;1001;0110;1101,356,0,0,
1100;0111;0100;1111,353,0,0,
1010;1011;1100;1101,669,0,0,
1100;0010;0100;1010,753,0,0,
1011;1001;1111;1101,353,0,0,
1001;1110;0101;0010,728,0,0,
1100;0011;1110;0001,353,0,0,
1010;1001;0110;0101,367,361,125,
0101;0110;0000;0011,1059,1075,274,
0010;0110;1000;1100,752,0,0,
1011;0010;1111;0110,325,0,0,
1110;1111;1001;1000,376,0,0,
0110;1001;0000;1111,360,340,0,
1101;1011;1000;1110,696,0,0,
0111;0110;0010;0011,688,0,0,
1101;0100;1001;0000,1059,0,0,
1010;0000;1001;0011,1022,1107,291,
1110;0100;1011;0001,362,0,0,
1100;0101;1011;0010,737,0,0,
1100;0111;0000;1011,1087,0,0,
0011;1000;0010;1001,679,0,0,
1011;0111;1010;0110,721,0,0,
1101;1110;1001;1010,702,0,0,
1100;0001;1011;0110,692,0,0,
0100;0000;1110;1010,1027,0,0,
